Name,ResourceName,ResourceType,ResourceGroupName,Location
Hyddc,Hyddc,Microsoft.Compute/virtualMachines,HydRsgGrp,ukwest
Hyddc/Microsoft.Insights.VMDiagnosticsSettings,Hyddc/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,HydRsgGrp,ukwest
HydtoBvrm,HydtoBvrm,Microsoft.Network/connections,HydRsgGrp,ukwest
hyddc217,hyddc217,Microsoft.Network/networkInterfaces,HydRsgGrp,ukwest
AADtest-nsg,AADtest-nsg,Microsoft.Network/networkSecurityGroups,HydRsgGrp,ukwest
DC-nsg,DC-nsg,Microsoft.Network/networkSecurityGroups,HydRsgGrp,ukwest
Hyddc-nsg,Hyddc-nsg,Microsoft.Network/networkSecurityGroups,HydRsgGrp,ukwest
AADtest-ip,AADtest-ip,Microsoft.Network/publicIPAddresses,HydRsgGrp,ukwest
DC-ip,DC-ip,Microsoft.Network/publicIPAddresses,HydRsgGrp,ukwest
Hyddc-ip,Hyddc-ip,Microsoft.Network/publicIPAddresses,HydRsgGrp,ukwest
HYDtoBVRM,HYDtoBVRM,Microsoft.Network/publicIPAddresses,HydRsgGrp,ukwest
HYDtoBVRM,HYDtoBVRM,Microsoft.Network/virtualNetworkGateways,HydRsgGrp,ukwest
HydNetwork,HydNetwork,Microsoft.Network/virtualNetworks,HydRsgGrp,ukwest
hydrsggrpdiag901,hydrsggrpdiag901,Microsoft.Storage/storageAccounts,HydRsgGrp,ukwest
testappservicevnet-vnet,testappservicevnet-vnet,Microsoft.Network/virtualNetworks,kartest,westus
ServicePlan6aeb9051-999c,ServicePlan6aeb9051-999c,Microsoft.Web/serverFarms,kartest,southcentralus
testsamplene,testsamplene,Microsoft.Web/sites,kartest,southcentralus
labbackup,labbackup,Microsoft.RecoveryServices/vaults,labexam2,eastus
labexam,labexam,Microsoft.RecoveryServices/vaults,labexam2,southeastasia
AsrVM1,AsrVM1,Microsoft.Compute/virtualMachines,ManjuASRRG,northcentralus
ASRVMConfig,ASRVMConfig,Microsoft.Compute/virtualMachines,ManjuASRRG,northcentralus
asrvm1604,asrvm1604,Microsoft.Network/networkInterfaces,ManjuASRRG,northcentralus
asrvmconfig369,asrvmconfig369,Microsoft.Network/networkInterfaces,ManjuASRRG,northcentralus
AsrVM1-nsg,AsrVM1-nsg,Microsoft.Network/networkSecurityGroups,ManjuASRRG,northcentralus
ASRVMConfig-nsg,ASRVMConfig-nsg,Microsoft.Network/networkSecurityGroups,ManjuASRRG,northcentralus
AsrVM1-ip,AsrVM1-ip,Microsoft.Network/publicIPAddresses,ManjuASRRG,northcentralus
ASRVMConfig-ip,ASRVMConfig-ip,Microsoft.Network/publicIPAddresses,ManjuASRRG,northcentralus
ASRTestVNET,ASRTestVNET,Microsoft.Network/virtualNetworks,ManjuASRRG,northcentralus
newmanjustorage,newmanjustorage,Microsoft.Storage/storageAccounts,ManjuASRRG,northcentralus
SpaceCS,SpaceCS,Microsoft.ClassicCompute/domainNames,ManjuRG,centralus
Manju-VM2,Manju-VM2,Microsoft.Compute/virtualMachines,ManjuRG,centralus
ManjuVM1,ManjuVM1,Microsoft.Compute/virtualMachines,ManjuRG,centralus
ManjuVM-RDCB,ManjuVM-RDCB,Microsoft.Compute/virtualMachines,ManjuRG,centralus
ManjuVm-RDSH1,ManjuVm-RDSH1,Microsoft.Compute/virtualMachines,ManjuRG,centralus
ManjuVM-WebGw1,ManjuVM-WebGw1,Microsoft.Compute/virtualMachines,ManjuRG,centralus
SpaceAD,SpaceAD,Microsoft.Compute/virtualMachines,ManjuRG,centralus
SpaceAD/IaaSDiagnostics,SpaceAD/IaaSDiagnostics,Microsoft.Compute/virtualMachines/extensions,ManjuRG,centralus
SpaceGWWeb,SpaceGWWeb,Microsoft.Compute/virtualMachines,ManjuRG,centralus
SpaceGWWeb/IaaSDiagnostics,SpaceGWWeb/IaaSDiagnostics,Microsoft.Compute/virtualMachines/extensions,ManjuRG,centralus
SpaceMFA,SpaceMFA,Microsoft.Compute/virtualMachines,ManjuRG,centralus
SpaceRDSH,SpaceRDSH,Microsoft.Compute/virtualMachines,ManjuRG,centralus
SpaceRDSH/IaaSDiagnostics,SpaceRDSH/IaaSDiagnostics,Microsoft.Compute/virtualMachines/extensions,ManjuRG,centralus
TestLinuxVM,TestLinuxVM,Microsoft.Compute/virtualMachines,ManjuRG,centralus
TestvmExchange,TestvmExchange,Microsoft.Compute/virtualMachines,ManjuRG,centralus
ububtuvm01,ububtuvm01,Microsoft.Compute/virtualMachines,ManjuRG,centralus
manju-vm2632,manju-vm2632,Microsoft.Network/networkInterfaces,ManjuRG,centralus
manjuvm160,manjuvm160,Microsoft.Network/networkInterfaces,ManjuRG,centralus
manjuvm-rdcb545,manjuvm-rdcb545,Microsoft.Network/networkInterfaces,ManjuRG,centralus
manjuvm-rdsh1206,manjuvm-rdsh1206,Microsoft.Network/networkInterfaces,ManjuRG,centralus
manjuvm-webgw1113,manjuvm-webgw1113,Microsoft.Network/networkInterfaces,ManjuRG,centralus
spacead261,spacead261,Microsoft.Network/networkInterfaces,ManjuRG,centralus
spacegwweb101,spacegwweb101,Microsoft.Network/networkInterfaces,ManjuRG,centralus
spacemfa608,spacemfa608,Microsoft.Network/networkInterfaces,ManjuRG,centralus
spacerdsh123,spacerdsh123,Microsoft.Network/networkInterfaces,ManjuRG,centralus
testlinuxvm620,testlinuxvm620,Microsoft.Network/networkInterfaces,ManjuRG,centralus
testvmexchange934,testvmexchange934,Microsoft.Network/networkInterfaces,ManjuRG,centralus
ububtuvm01627,ububtuvm01627,Microsoft.Network/networkInterfaces,ManjuRG,centralus
Manju-VM2-nsg,Manju-VM2-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
ManjuVM1-nsg,ManjuVM1-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
ManjuVM-RDCB-nsg,ManjuVM-RDCB-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
ManjuVm-RDSH1-nsg,ManjuVm-RDSH1-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
ManjuVM-WebGw1-nsg,ManjuVM-WebGw1-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
SpaceAD-nsg,SpaceAD-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
SpaceGWWeb-nsg,SpaceGWWeb-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
SpaceMFA-nsg,SpaceMFA-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
SpaceRDSH-nsg,SpaceRDSH-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
TestLinuxVM-nsg,TestLinuxVM-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
TestvmExchange-nsg,TestvmExchange-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
ububtuvm01-nsg,ububtuvm01-nsg,Microsoft.Network/networkSecurityGroups,ManjuRG,centralus
Manju-VM2-ip,Manju-VM2-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVM1-ip,ManjuVM1-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVM-RDCB-ip,ManjuVM-RDCB-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVm-RDSH1-ip,ManjuVm-RDSH1-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVM-WebGw1-ip,ManjuVM-WebGw1-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVNGPIP,ManjuVNGPIP,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
SpaceAD-ip,SpaceAD-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
SpaceGWWeb-ip,SpaceGWWeb-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
SpaceMFA-ip,SpaceMFA-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
SpaceRDSH-ip,SpaceRDSH-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
TestLinuxVM-ip,TestLinuxVM-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
TestvmExchange-ip,TestvmExchange-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ububtuvm01-ip,ububtuvm01-ip,Microsoft.Network/publicIPAddresses,ManjuRG,centralus
ManjuVN,ManjuVN,Microsoft.Network/virtualNetworks,ManjuRG,centralus
Space-VNET,Space-VNET,Microsoft.Network/virtualNetworks,ManjuRG,centralus
ASRSpaceVault,ASRSpaceVault,Microsoft.RecoveryServices/vaults,ManjuRG,centralus
spacedbsql,spacedbsql,Microsoft.Sql/servers,ManjuRG,centralus
manjurgdisks751,manjurgdisks751,Microsoft.Storage/storageAccounts,ManjuRG,centralus
manjustorageaccount,manjustorageaccount,Microsoft.Storage/storageAccounts,ManjuRG,centralus
Spacetestapp,Spacetestapp,Microsoft.Web/serverFarms,ManjuRG,centralus
spacetestwp,spacetestwp,Microsoft.Web/sites,ManjuRG,centralus
migratetestDC,migratetestDC,Microsoft.ClassicCompute/domainNames,migratetestDC,eastus
Migratetst,Migratetst,Microsoft.ClassicCompute/domainNames,Migratetst,eastus
netenrichOMS,netenrichOMS,Microsoft.OperationalInsights/workspaces,mms-eus,eastus
myfirsttestrecoveryvault,myfirsttestrecoveryvault,Microsoft.RecoveryServices/vaults,myfirsttestrecoveryvault,japanwest
testwordpress117,testwordpress117,Microsoft.Network/networkInterfaces,mytestresourcegroup,southcentralus
testwordpress-nsg,testwordpress-nsg,Microsoft.Network/networkSecurityGroups,mytestresourcegroup,southcentralus
testwordpress-ip,testwordpress-ip,Microsoft.Network/publicIPAddresses,mytestresourcegroup,southcentralus
mytestresourcegroup-vnet,mytestresourcegroup-vnet,Microsoft.Network/virtualNetworks,mytestresourcegroup,southcentralus
testbackupvault,testbackupvault,Microsoft.RecoveryServices/vaults,mytestresourcegroup,southcentralus
mytestresourcegroup614,mytestresourcegroup614,Microsoft.Storage/storageAccounts,mytestresourcegroup,southcentralus
TestVnetGateway1,TestVnetGateway1,Microsoft.Network/publicIPAddresses,MyTestRG,westus
TestVnetGateway2,TestVnetGateway2,Microsoft.Network/publicIPAddresses,MyTestRG,southeastasia
TestVnetGateway1,TestVnetGateway1,Microsoft.Network/virtualNetworkGateways,MyTestRG,westus
TestVnetGateway2,TestVnetGateway2,Microsoft.Network/virtualNetworkGateways,MyTestRG,southeastasia
MyTestVnet1,MyTestVnet1,Microsoft.Network/virtualNetworks,MyTestRG,westus
MyTestVnet2,MyTestVnet2,Microsoft.Network/virtualNetworks,MyTestRG,southeastasia
mytestvirtual99,mytestvirtual99,Microsoft.ClassicCompute/domainNames,mytestvirtual99,southcentralus
app03,app03,Microsoft.Compute/virtualMachines,NElab,eastus
app03784,app03784,Microsoft.Network/networkInterfaces,NElab,eastus
app03-nsg,app03-nsg,Microsoft.Network/networkSecurityGroups,NElab,eastus
app03-ip,app03-ip,Microsoft.Network/publicIPAddresses,NElab,eastus
NElab-vnet,NElab-vnet,Microsoft.Network/virtualNetworks,NElab,eastus
nelabdiag609,nelabdiag609,Microsoft.Storage/storageAccounts,NElab,eastus
nelabdisks744,nelabdisks744,Microsoft.Storage/storageAccounts,NElab,eastus
neazurepack,neazurepack,Microsoft.Storage/storageAccounts,nepartners,northeurope
NRP-LB,NRP-LB,Microsoft.Network/loadBalancers,NRP-RG,westus
PublicIp,PublicIp,Microsoft.Network/publicIPAddresses,NRP-RG,westus
NRPVNet,NRPVNet,Microsoft.Network/virtualNetworks,NRP-RG,westus
configsrever,configsrever,Microsoft.Compute/virtualMachines,onpremservers,southeastasia
configsrever/Microsoft.Insights.VMDiagnosticsSettings,configsrever/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,onpremservers,southeastasia
onpremDC,onpremDC,Microsoft.Compute/virtualMachines,onpremservers,southeastasia
configsrever469,configsrever469,Microsoft.Network/networkInterfaces,onpremservers,southeastasia
onpremdc54,onpremdc54,Microsoft.Network/networkInterfaces,onpremservers,southeastasia
configsrever-nsg,configsrever-nsg,Microsoft.Network/networkSecurityGroups,onpremservers,southeastasia
onpremDC-nsg,onpremDC-nsg,Microsoft.Network/networkSecurityGroups,onpremservers,southeastasia
configsrever-ip,configsrever-ip,Microsoft.Network/publicIPAddresses,onpremservers,southeastasia
onpremDC-ip,onpremDC-ip,Microsoft.Network/publicIPAddresses,onpremservers,southeastasia
onpremnetwrok,onpremnetwrok,Microsoft.Network/virtualNetworks,onpremservers,southeastasia
storageonprem,storageonprem,Microsoft.Storage/storageAccounts,onpremservers,southeastasia
RDS-POC,RDS-POC,Microsoft.Compute/virtualMachines,POC,southeastasia
RDS-POC/Microsoft.Insights.VMDiagnosticsSettings,RDS-POC/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,POC,southeastasia
RDS-Win2016,RDS-Win2016,Microsoft.Compute/virtualMachines,POC,southeastasia
RDS-Win2016/Microsoft.Insights.VMDiagnosticsSettings,RDS-Win2016/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,POC,southeastasia
rds-poc88,rds-poc88,Microsoft.Network/networkInterfaces,POC,southeastasia
rds-win2016207,rds-win2016207,Microsoft.Network/networkInterfaces,POC,southeastasia
RDS-POC,RDS-POC,Microsoft.Network/networkSecurityGroups,POC,southeastasia
RDS-Win2016,RDS-Win2016,Microsoft.Network/networkSecurityGroups,POC,southeastasia
RDS-POC,RDS-POC,Microsoft.Network/publicIPAddresses,POC,southeastasia
RDS-Win2016,RDS-Win2016,Microsoft.Network/publicIPAddresses,POC,southeastasia
testcs123,testcs123,Microsoft.Network/publicIPAddresses,POC,eastasia
POC,POC,Microsoft.Network/virtualNetworks,POC,southeastasia
poc3105,poc3105,Microsoft.Storage/storageAccounts,POC,southeastasia
pocstr,pocstr,Microsoft.Storage/storageAccounts,POC,southeastasia
powershelvmmig,powershelvmmig,Microsoft.ClassicCompute/domainNames,powershelvmmig,westus
powershelvmmig,powershelvmmig,Microsoft.ClassicCompute/virtualMachines,powershelvmmig,westus
ramyarsv,ramyarsv,Microsoft.RecoveryServices/vaults,ramya-bvrm-azurelabexam,australiasoutheast
DCAD,DCAD,Microsoft.Compute/virtualMachines,RDSAuto,westus
RDCB,RDCB,Microsoft.Compute/virtualMachines,RDSAuto,westus
RDCB/RDcb,RDCB/RDcb,Microsoft.Compute/virtualMachines/extensions,RDSAuto,westus
RDSH,RDSH,Microsoft.Compute/virtualMachines,RDSAuto,westus
RDSH/RDSH,RDSH/RDSH,Microsoft.Compute/virtualMachines/extensions,RDSAuto,westus
RDWG2,RDWG2,Microsoft.Compute/virtualMachines,RDSAuto,westus
RDWG2/RDDsc,RDWG2/RDDsc,Microsoft.Compute/virtualMachines/extensions,RDSAuto,westus
dcad335,dcad335,Microsoft.Network/networkInterfaces,RDSAuto,westus
rdcb450,rdcb450,Microsoft.Network/networkInterfaces,RDSAuto,westus
rdsh904,rdsh904,Microsoft.Network/networkInterfaces,RDSAuto,westus
rdwg2329,rdwg2329,Microsoft.Network/networkInterfaces,RDSAuto,westus
RDCB-nsg,RDCB-nsg,Microsoft.Network/networkSecurityGroups,RDSAuto,westus
RDSAuto-nsg,RDSAuto-nsg,Microsoft.Network/networkSecurityGroups,RDSAuto,westus
RDWG2-nsg,RDWG2-nsg,Microsoft.Network/networkSecurityGroups,RDSAuto,westus
RDWG-nsg,RDWG-nsg,Microsoft.Network/networkSecurityGroups,RDSAuto,westus
RDWGnsg230,RDWGnsg230,Microsoft.Network/networkSecurityGroups,RDSAuto,westus
DCAD-ip,DCAD-ip,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDCB-ip,RDCB-ip,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDSH-ip,RDSH-ip,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDWG2-ip,RDWG2-ip,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDWG-ip,RDWG-ip,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDWGip258,RDWGip258,Microsoft.Network/publicIPAddresses,RDSAuto,westus
RDSAuto-vnet,RDSAuto-vnet,Microsoft.Network/virtualNetworks,RDSAuto,westus
testrecovery,testrecovery,Microsoft.RecoveryServices/vaults,RDSAuto,westus
rdsautostg,rdsautostg,Microsoft.Storage/storageAccounts,RDSAuto,westus
sqlurlstg,sqlurlstg,Microsoft.Storage/storageAccounts,RDSAuto,southeastasia
rdsad,rdsad,Microsoft.Compute/virtualMachines,rdslabrg,japanwest
rdsserver,rdsserver,Microsoft.Compute/virtualMachines,rdslabrg,japanwest
rdsvm,rdsvm,Microsoft.Compute/virtualMachines,rdslabrg,japanwest
rdsad784,rdsad784,Microsoft.Network/networkInterfaces,rdslabrg,japanwest
rdsserver24,rdsserver24,Microsoft.Network/networkInterfaces,rdslabrg,japanwest
rdsvm939,rdsvm939,Microsoft.Network/networkInterfaces,rdslabrg,japanwest
rdsad-nsg,rdsad-nsg,Microsoft.Network/networkSecurityGroups,rdslabrg,japanwest
rdsserver-nsg,rdsserver-nsg,Microsoft.Network/networkSecurityGroups,rdslabrg,japanwest
rdsvm-nsg,rdsvm-nsg,Microsoft.Network/networkSecurityGroups,rdslabrg,japanwest
rdsad-ip,rdsad-ip,Microsoft.Network/publicIPAddresses,rdslabrg,japanwest
rdsserver-ip,rdsserver-ip,Microsoft.Network/publicIPAddresses,rdslabrg,japanwest
rdsvm-ip,rdsvm-ip,Microsoft.Network/publicIPAddresses,rdslabrg,japanwest
rdsvnet,rdsvnet,Microsoft.Network/virtualNetworks,rdslabrg,japanwest
rajiv123,rajiv123,Microsoft.Storage/storageAccounts,rdslabrg,japanwest
rdslabrgdiag897,rdslabrgdiag897,Microsoft.Storage/storageAccounts,rdslabrg,japanwest
rdslabrgdisksad276,rdslabrgdisksad276,Microsoft.Storage/storageAccounts,rdslabrg,japanwest
rdsstor,rdsstor,Microsoft.Storage/storageAccounts,rdslabrg,japanwest
RGUKTBackup,RGUKTBackup,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-Brazil-South,brazilsouth
Test,Test,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-Southeast-Asia,southeastasia
RGUKTvault,RGUKTvault,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-Asia,eastasia
sunvault,sunvault,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US,eastus
testingvault,testingvault,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US,eastus
Testvault,Testvault,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-East-US,eastus
testbackupvault9,testbackupvault9,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-South-Central-US,southcentralus
gopinath-testvault,gopinath-testvault,microsoft.backup/BackupVault,RecoveryServices-OYHMCRMRCP5UBMX7MXPWWTHKYHZVBSBTFGZVASHG3TFLTZDGMK5Q-West-US,westus
AAccountClassic,AAccountClassic,Microsoft.Automation/automationAccounts,resourcegrp-bhaskar,southeastasia
AAccountClassic/Stop-AllClassicVMs,AAccountClassic/Stop-AllClassicVMs,Microsoft.Automation/automationAccounts/runbooks,resourcegrp-bhaskar,southeastasia
bhaskaraccount,bhaskaraccount,Microsoft.Automation/automationAccounts,resourcegrp-bhaskar,southeastasia
bhaskaraccount/sample,bhaskaraccount/sample,Microsoft.Automation/automationAccounts/runbooks,resourcegrp-bhaskar,southeastasia
bhaskaraccount/sample2,bhaskaraccount/sample2,Microsoft.Automation/automationAccounts/runbooks,resourcegrp-bhaskar,southeastasia
Alien,Alien,Microsoft.Compute/virtualMachines,resourcegrp-bhaskar,westeurope
Alien/BGInfo,Alien/BGInfo,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
Alien/IaaSDiagnostics,Alien/IaaSDiagnostics,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
Alientvault,Alientvault,Microsoft.Compute/virtualMachines,resourcegrp-bhaskar,westeurope
Alientvault/enablevmaccess,Alientvault/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
Alientvault/Microsoft.Powershell.DSC,Alientvault/Microsoft.Powershell.DSC,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
VMForAutoTest,VMForAutoTest,Microsoft.Compute/virtualMachines,resourcegrp-bhaskar,westeurope
VMForAutoTest/Microsoft.Insights.VMDiagnosticsSettings,VMForAutoTest/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
vmforautotest/VMSnapshot,vmforautotest/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,resourcegrp-bhaskar,westeurope
TestLB,TestLB,Microsoft.Network/loadBalancers,resourcegrp-bhaskar,westeurope
Alien,Alien,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
AlienNew,AlienNew,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
alientvault379,alientvault379,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
mylinuxbox403,mylinuxbox403,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
nic123-test,nic123-test,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
puppet991,puppet991,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
vmforautotest249,vmforautotest249,Microsoft.Network/networkInterfaces,resourcegrp-bhaskar,westeurope
AlienVM,AlienVM,Microsoft.Network/networkSecurityGroups,resourcegrp-bhaskar,westeurope
automationtest,automationtest,Microsoft.Network/networkSecurityGroups,resourcegrp-bhaskar,eastasia
nic123-test01,nic123-test01,Microsoft.Network/networkSecurityGroups,resourcegrp-bhaskar,westeurope
publicip-101,publicip-101,Microsoft.Network/networkSecurityGroups,resourcegrp-bhaskar,westeurope
publicip-201,publicip-201,Microsoft.Network/networkSecurityGroups,resourcegrp-bhaskar,westeurope
AlientMem-ip,AlientMem-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
Alientvault-ip,Alientvault-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
AlievVaultPIP,AlievVaultPIP,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
diskfromvhd123,diskfromvhd123,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,eastasia
mylinuxbox-ip,mylinuxbox-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
Puppet-ip,Puppet-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
testubuntu-ip,testubuntu-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
VMForAutoTest-ip,VMForAutoTest-ip,Microsoft.Network/publicIPAddresses,resourcegrp-bhaskar,westeurope
Automation-VNet,Automation-VNet,Microsoft.Network/virtualNetworks,resourcegrp-bhaskar,westeurope
EastAsiaNet,EastAsiaNet,Microsoft.Network/virtualNetworks,resourcegrp-bhaskar,eastasia
bhaskar,bhaskar,Microsoft.OperationalInsights/workspaces,resourcegrp-bhaskar,southeastasia
AutomationTest,AutomationTest,Microsoft.RecoveryServices/vaults,resourcegrp-bhaskar,eastasia
storagebhaskar,storagebhaskar,Microsoft.Storage/storageAccounts,resourcegrp-bhaskar,eastasia
storageforautomation,storageforautomation,Microsoft.Storage/storageAccounts,resourcegrp-bhaskar,westeurope
NSG-FrontEnd,NSG-FrontEnd,Microsoft.Network/networkSecurityGroups,RGroup,southcentralus
TestVNet,TestVNet,Microsoft.Network/virtualNetworks,RGroup,southcentralus
teststoragehari,teststoragehari,Microsoft.Storage/storageAccounts,RGroup,southcentralus
todelete,todelete,Microsoft.Network/virtualNetworks,RGUKTvault,eastus
RGUKTest,RGUKTest,Microsoft.RecoveryServices/vaults,RGUKTvault,eastus
RGUKTVM1,RGUKTVM1,Microsoft.ClassicCompute/domainNames,RGUKTVM1,southeastasia
RGUVM1,RGUVM1,Microsoft.ClassicCompute/domainNames,RGUVM1,eastus
Azure2008,Azure2008,Microsoft.ClassicCompute/virtualMachines,RGUVM1,eastus
RGUSQL,RGUSQL,Microsoft.ClassicCompute/virtualMachines,RGUVM1,eastus
RGUVM1,RGUVM1,Microsoft.ClassicCompute/virtualMachines,RGUVM1,eastus
RGUVM3,RGUVM3,Microsoft.ClassicCompute/virtualMachines,RGUVM1,eastus
RGUVM2,RGUVM2,Microsoft.ClassicCompute/domainNames,RGUVM2,eastus
Azure2016,Azure2016,Microsoft.ClassicCompute/virtualMachines,RGUVM2,eastus
RGUVM2,RGUVM2,Microsoft.ClassicCompute/virtualMachines,RGUVM2,eastus
rksqltestvm10,rksqltestvm10,Microsoft.Compute/virtualMachines,rktestgrp10,uksouth
rksqltestvm10/SqlIaasExtension,rksqltestvm10/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,rktestgrp10,uksouth
rksqltestvm10903,rksqltestvm10903,Microsoft.Network/networkInterfaces,rktestgrp10,uksouth
rksqltestvm10-nsg,rksqltestvm10-nsg,Microsoft.Network/networkSecurityGroups,rktestgrp10,uksouth
rksqltestvm10-ip,rksqltestvm10-ip,Microsoft.Network/publicIPAddresses,rktestgrp10,uksouth
rkvnet10,rkvnet10,Microsoft.Network/virtualNetworks,rktestgrp10,uksouth
rkdelltestbackupstorage,rkdelltestbackupstorage,Microsoft.Storage/storageAccounts,rktestgrp10,uksouth
rkteststorage10,rkteststorage10,Microsoft.Storage/storageAccounts,rktestgrp10,uksouth
ASR-PS,ASR-PS,Microsoft.Compute/virtualMachines,RTechRG,eastus2
DEVVM,DEVVM,Microsoft.Compute/virtualMachines,RTechRG,eastus2
DEVVM/Microsoft.Insights.VMDiagnosticsSettings,DEVVM/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,RTechRG,eastus2
asr-ps703,asr-ps703,Microsoft.Network/networkInterfaces,RTechRG,eastus2
devvm804,devvm804,Microsoft.Network/networkInterfaces,RTechRG,eastus2
prodvm89,prodvm89,Microsoft.Network/networkInterfaces,RTechRG,eastus2
pvet3vm561,pvet3vm561,Microsoft.Network/networkInterfaces,RTechRG,eastus2
pvnet1vm262,pvnet1vm262,Microsoft.Network/networkInterfaces,RTechRG,eastus2
ASR-PS-nsg,ASR-PS-nsg,Microsoft.Network/networkSecurityGroups,RTechRG,eastus2
PVET3VM-nsg,PVET3VM-nsg,Microsoft.Network/networkSecurityGroups,RTechRG,eastus2
PVNET1VM-nsg,PVNET1VM-nsg,Microsoft.Network/networkSecurityGroups,RTechRG,eastus2
ASR-PS-ip,ASR-PS-ip,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
DEVVM-ip,DEVVM-ip,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
DevVNET-GW-IP,DevVNET-GW-IP,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
ProdVM-ip,ProdVM-ip,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
