Name,ResourceName,ResourceType,ResourceGroupName,Location
Britec-MFA,Britec-MFA,Microsoft.Compute/virtualMachines,britecsage,westus
Britec-RDSH,Britec-RDSH,Microsoft.Compute/virtualMachines,britecsage,westus
Britec-RDSH/Microsoft.Insights.VMDiagnosticsSettings,Britec-RDSH/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,britecsage,westus
britec-webgw,britec-webgw,Microsoft.Compute/virtualMachines,britecsage,westus
britec-webgw/Microsoft.Insights.VMDiagnosticsSettings,britec-webgw/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,britecsage,westus
testsqlbackup,testsqlbackup,Microsoft.Compute/virtualMachines,britecsage,westus
testsqlbackup/SqlIaasExtension,testsqlbackup/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,britecsage,westus
britec-adcb1151,britec-adcb1151,Microsoft.Network/networkInterfaces,britecsage,westus
britec-mfa25,britec-mfa25,Microsoft.Network/networkInterfaces,britecsage,westus
britec-rdsh607,britec-rdsh607,Microsoft.Network/networkInterfaces,britecsage,westus
britec-webgw921,britec-webgw921,Microsoft.Network/networkInterfaces,britecsage,westus
sagesql972,sagesql972,Microsoft.Network/networkInterfaces,britecsage,westus
test712,test712,Microsoft.Network/networkInterfaces,britecsage,westus
testsqlbackup614,testsqlbackup614,Microsoft.Network/networkInterfaces,britecsage,westus
Britec-Adcb1-nsg,Britec-Adcb1-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
Britec-MFA-nsg,Britec-MFA-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
Britec-RDSH-nsg,Britec-RDSH-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
britec-webgw-nsg,britec-webgw-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
sagesql-nsg,sagesql-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
test-nsg,test-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
testsqlbackup-nsg,testsqlbackup-nsg,Microsoft.Network/networkSecurityGroups,britecsage,westus
Britec-Adcb1-ip,Britec-Adcb1-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
Britec-MFA-ip,Britec-MFA-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
Britec-RDSH-ip,Britec-RDSH-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
britec-webgw-ip,britec-webgw-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
sagesql-ip,sagesql-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
test-ip,test-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
testsqlbackup-ip,testsqlbackup-ip,Microsoft.Network/publicIPAddresses,britecsage,westus
britec-vnet,britec-vnet,Microsoft.Network/virtualNetworks,britecsage,westus
britecstorage,britecstorage,Microsoft.Storage/storageAccounts,britecsage,westus
testsql1234,testsql1234,Microsoft.Storage/storageAccounts,britecsage,westus
hio,hio,Microsoft.Network/virtualNetworks,bv,japanwest
ciscoASA-DEV-Nic1,ciscoASA-DEV-Nic1,Microsoft.Network/networkInterfaces,ciscoasadev,eastus2
ciscoASA-DEV-Nic2,ciscoASA-DEV-Nic2,Microsoft.Network/networkInterfaces,ciscoasadev,eastus2
ciscoASA-DEV-Nic3,ciscoASA-DEV-Nic3,Microsoft.Network/networkInterfaces,ciscoasadev,eastus2
ciscoASA-DEV-SSH-SecurityGroup,ciscoASA-DEV-SSH-SecurityGroup,Microsoft.Network/networkSecurityGroups,ciscoasadev,eastus2
ciscodevgw,ciscodevgw,Microsoft.Network/publicIPAddresses,ciscoasadev,eastus2
3rd-ASAv-RouteTable,3rd-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasadev,eastus2
4th-ASAv-RouteTable,4th-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasadev,eastus2
Backend-ASAv-RouteTable,Backend-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasadev,eastus2
FrontEnd-ASAv-RouteTable,FrontEnd-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasadev,eastus2
CiscoASA-Prod-Nic0,CiscoASA-Prod-Nic0,Microsoft.Network/networkInterfaces,ciscoasapoc,eastus2
CiscoASA-Prod-Nic1,CiscoASA-Prod-Nic1,Microsoft.Network/networkInterfaces,ciscoasapoc,eastus2
CiscoASA-Prod-Nic2,CiscoASA-Prod-Nic2,Microsoft.Network/networkInterfaces,ciscoasapoc,eastus2
CiscoASA-Prod-Nic3,CiscoASA-Prod-Nic3,Microsoft.Network/networkInterfaces,ciscoasapoc,eastus2
CiscoASA-Prod-SSH-SecurityGroup,CiscoASA-Prod-SSH-SecurityGroup,Microsoft.Network/networkSecurityGroups,ciscoasapoc,eastus2
ciscoASAprodgw,ciscoASAprodgw,Microsoft.Network/publicIPAddresses,ciscoasapoc,eastus2
3rd-ASAv-RouteTable,3rd-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasapoc,eastus2
4th-ASAv-RouteTable,4th-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasapoc,eastus2
Backend-ASAv-RouteTable,Backend-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasapoc,eastus2
FrontEnd-ASAv-RouteTable,FrontEnd-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoasapoc,eastus2
CiscoASA-FW-Nic0,CiscoASA-FW-Nic0,Microsoft.Network/networkInterfaces,CiscoASARG,eastus2
CiscoASA-FW-Nic1,CiscoASA-FW-Nic1,Microsoft.Network/networkInterfaces,CiscoASARG,eastus2
CiscoASA-FW-Nic2,CiscoASA-FW-Nic2,Microsoft.Network/networkInterfaces,CiscoASARG,eastus2
CiscoASA-FW-Nic3,CiscoASA-FW-Nic3,Microsoft.Network/networkInterfaces,CiscoASARG,eastus2
